id,PdgId,x0,y0,z0,t0,px,py,pz,e0,entry
0,22,841.253,65.6184,47.4216,0,0.85504,-0.134459,-0.500827,109.998,0
0,-211,841.253,65.6184,47.4216,0,0.857181,-0.169371,-0.486368,12.4389,0
0,211,841.253,65.6184,47.4216,0,0.854197,-0.135617,-0.501952,640.561,0
0,211,841.253,65.6184,47.4216,0,0.855357,-0.133063,-0.500658,143.23,0
0,-211,841.253,65.6184,47.4216,0,0.856156,-0.134045,-0.499028,447.382,0
0,11,841.253,65.6184,47.4216,0,0.857299,-0.131434,-0.497758,9086.86,0
1,22,739.659,405.865,-167.467,0,0.29738,-0.422414,0.856231,128.796,1
1,22,739.659,405.865,-167.467,0,0.29725,-0.421393,0.856779,104.133,1
1,22,739.659,405.865,-167.467,0,0.297297,-0.424782,0.855088,125.254,1
1,22,739.659,405.865,-167.467,0,0.297439,-0.424538,0.855159,208.264,1
1,22,739.659,405.865,-167.467,0,0.295924,-0.425107,0.855402,138.931,1
1,22,739.659,405.865,-167.467,0,0.295989,-0.42252,0.85666,138.13,1
1,22,739.659,405.865,-167.467,0,0.29632,-0.421817,0.856893,200.138,1
1,-3122,739.659,405.865,-167.467,0,0.293447,-0.421258,0.858155,75.9952,1
1,-211,739.659,405.865,-167.467,0,0.296574,-0.422695,0.856372,306.623,1
1,211,739.659,405.865,-167.467,0,0.296797,-0.422715,0.856285,152.435,1
1,211,739.659,405.865,-167.467,0,0.29052,-0.413459,0.862931,30.1543,1
1,-321,739.659,405.865,-167.467,0,0.291448,-0.424988,0.856996,74.707,1
1,130,739.659,405.865,-167.467,0,0.291913,-0.423205,0.85772,221.039,1
1,-211,739.659,405.865,-167.467,0,0.297411,-0.423117,0.855873,562.751,1
1,-211,739.659,405.865,-167.467,0,0.295257,-0.424474,0.855947,210.77,1
1,-211,739.659,405.865,-167.467,0,0.29553,-0.426193,0.854998,539.552,1
1,211,739.659,405.865,-167.467,0,0.296885,-0.425567,0.85484,319.14,1
1,3222,739.659,405.865,-167.467,0,0.291295,-0.422533,0.858262,162.914,1
1,-211,739.659,405.865,-167.467,0,0.310179,-0.423727,0.851025,16.758,1
1,211,739.659,405.865,-167.467,0,0.296094,-0.420247,0.857741,523.777,1
1,211,739.659,405.865,-167.467,0,0.295882,-0.423398,0.856264,1565.08,1
1,211,739.659,405.865,-167.467,0,0.297198,-0.422526,0.856239,201.809,1
1,11,739.659,405.865,-167.467,0,0.291894,-0.41972,0.859438,4287.16,1
2,-211,873.229,-0.274174,-78.7769,0,0.87498,-0.26521,-0.405059,10.2166,2
2,22,873.229,-0.274174,-78.7769,0,0.871602,-0.246996,-0.423442,142.004,2
2,211,873.229,-0.274174,-78.7769,0,0.867822,-0.243609,-0.433059,33.0322,2
2,-211,873.229,-0.274174,-78.7769,0,0.870572,-0.246089,-0.42608,579.484,2
2,211,873.229,-0.274174,-78.7769,0,0.870286,-0.248559,-0.42523,230.725,2
2,-321,873.229,-0.274174,-78.7769,0,0.870986,-0.245244,-0.425721,3761.26,2
2,321,873.229,-0.274174,-78.7769,0,0.87108,-0.245081,-0.425624,1344.75,2
