id,PdgId,x0,y0,z0,t0,px,py,pz,e0,entry,event_id
0,12,573.59326171875,488.92095947265625,78.17173767089844,0.0,1674.9,-9303.2,-5041.79,10713.3,0,0
1,12,-357.27728271484375,-21.82316017150879,14.150308609008789,0.0,-5746.42,-7925.31,4899.16,10946.9,1,1
2,12,839.9489135742188,180.91348266601563,153.7754669189453,0.0,6643.96,4935.85,5977.53,10209.6,2,2
3,12,-122.5558090209961,-676.3629150390625,39.98478698730469,0.0,6334.2,-2326.53,-7932.29,10414.2,3,3
4,12,194.57020568847656,567.419189453125,-196.8242645263672,0.0,9494.38,2733.75,-3124.29,10362.3,4,4
5,12,-557.9346923828125,-810.9531860351563,219.97528076171875,0.0,-1162.89,3505.18,-9798.02,10470.9,5,5
6,12,-131.66322326660156,937.8408203125,137.1696319580078,0.0,1457.04,-9713.79,2134.69,10051.7,6,6
7,12,-395.3963317871094,339.52239990234375,175.41502380371094,0.0,-5818.22,599.107,8306.02,10158.8,7,7
8,12,-166.0459442138672,961.419677734375,239.02630615234375,0.0,9580.83,1729.41,-3653.9,10398.8,8,8
9,12,716.1425170898438,-587.2173461914063,148.54220581054688,0.0,-5155.57,7251.26,-5588,10506.5,9,9
10,12,-78.02561950683594,-748.2725219726563,158.07298278808594,0.0,-2648.08,-4217.62,-9069.93,10347.2,10,10
11,12,855.7578125,-219.05262756347656,237.1705780029297,0.0,5898.56,6380.77,5445.33,10254.7,11,11
12,12,-828.6664428710938,-54.966033935546875,109.40473175048828,0.0,2448.6,926.112,-10391,10715.7,12,12
13,12,733.0933837890625,-109.13330841064453,211.99948120117188,0.0,-1785,-9934.95,3062.09,10548.3,13,13
14,12,-912.2109375,129.40765380859375,-103.02456665039063,0.0,910.569,-3939.71,-9347.56,10184.7,14,14
15,12,-249.02401733398438,767.2974243164063,-79.49832153320313,0.0,-1934.04,-8139.63,-5789.62,10174.2,15,15
16,12,97.72062683105469,-525.815185546875,-161.67755126953125,0.0,1582.84,-489.937,9907.28,10044.9,16,16
17,12,426.14154052734375,-855.4248046875,-5.916304588317871,0.0,-108.119,-2689.21,9858.18,10219,17,17
18,12,304.8724670410156,640.5746459960938,-27.778099060058594,0.0,-5757.89,6798.02,5289.61,10360.8,18,18
19,12,-10.754021644592285,-889.0526123046875,206.8477325439453,0.0,9466.54,4516.68,-1094.63,10545.8,19,19
20,12,-314.29754638671875,-741.8901977539063,-69.18353271484375,0.0,4013,-7555.83,5399.99,10117,20,20
21,12,-439.81927490234375,468.62506103515625,232.14425659179688,0.0,-329.997,1349.3,-10489.5,10581.1,21,21
22,12,951.4830322265625,-26.339197158813477,-71.4699478149414,0.0,8109.55,2876.73,6242.58,10630.6,22,22
23,12,-565.498779296875,-806.2022094726563,-172.86473083496094,0.0,-1567.96,-4460.97,-8966.63,10137,23,23
24,12,488.81732177734375,-284.5663757324219,104.44886016845703,0.0,3337.01,6829.07,7505.33,10681.8,24,24
25,12,-539.6904296875,-584.8566284179688,-121.87003326416016,0.0,-321.411,-10520.5,2903.01,10918.4,25,25
26,12,54.168766021728516,442.5206604003906,-50.80130386352539,0.0,1691.98,-680.362,9865.55,10032.7,26,26
27,12,145.2960205078125,-258.3190612792969,68.42324829101563,0.0,-9510.61,3943.34,-1883.48,10466.6,27,27
28,12,-295.1345520019531,-152.93443298339844,162.67288208007813,0.0,-2438.79,-8437.56,-5298.51,10257.4,28,28
29,12,799.1400146484375,-184.29290771484375,-245.02650451660156,0.0,-4535.62,8432.04,4881.33,10747,29,29
30,12,270.25335693359375,-791.3731689453125,-184.36129760742188,0.0,3199.91,7815.68,5773.55,10230.3,30,30
31,12,-514.3444213867188,81.61083221435547,-200.1125030517578,0.0,-4370.39,145.896,-9123.81,10117.6,31,31
32,12,462.4893493652344,637.2230224609375,-41.60148239135742,0.0,8061.28,-3641.33,5590.84,10464.3,32,32
33,12,-258.4183044433594,-883.4924926757813,215.3052215576172,0.0,8993.57,-3171.36,-4562.47,10571.6,33,33
34,12,94.40544891357422,841.8567504882813,-66.67837524414063,0.0,6150.13,-8238.96,1860.43,10448.2,34,34
35,12,452.9921569824219,239.0762176513672,14.018844604492188,0.0,-10053.9,1492.44,2681.25,10511.8,35,35
36,12,-587.1924438476563,685.6884155273438,172.46571350097656,0.0,-4883.33,-9236.62,-990.867,10494.9,36,36
37,12,-20.544010162353516,544.4107666015625,20.754308700561523,0.0,3058.7,-5809.14,-8421.99,10678.6,37,37
38,12,147.6555938720703,596.22802734375,-9.002360343933105,0.0,-4637.67,-5291.58,-8220.45,10820.6,38,38
39,12,-147.69557189941406,175.39578247070313,85.6958999633789,0.0,2263.49,-2408.9,-10013.9,10545.3,39,39
