id,nhits,t1st,x0,y0,z0,entry,M_dist,tInject,xInject,yInject,zInject
0,31,264.396,620.541,493.422,45,0,292.519,-137.398,-53.281,31.3114,52.514
0,16,446.925,514.54,416.408,45,0,292.519,-28.37,57.7456,79.9076,37.1655
0,1,588.969,514.54,416.408,165,0,292.519,-422.822,39.5637,182.721,-27.3052
0,13,508.817,514.54,416.408,15,0,292.519,0.232436,59.064,72.4524,63.139
0,8,360.76,620.541,493.422,15,0,292.519,-153.411,-54.0191,35.4852,84.7682
0,27,217.817,620.541,493.422,75,0,292.519,-156.965,-54.1829,36.4116,25.2686
0,1,444.257,620.541,562.306,105,0,292.519,-449.065,-67.6469,43.663,36.3892
0,2,547.736,514.54,527.864,-15,0,292.519,-427.525,39.347,72.4908,153.357
0,5,264.298,620.541,493.422,105,0,292.519,-227.61,-57.4392,54.825,5.21362
0,3,539.259,620.541,381.966,105,0,292.519,-8.55929,-47.3423,109.186,-25.6233
0,1,547.208,620.541,381.966,45,0,292.519,251.646,-35.3484,41.3638,-2.2539
0,3,437.023,514.54,416.408,75,0,292.519,-92.2306,54.802,96.5527,16.1556
0,1,779.461,620.541,493.422,-75,0,292.519,-269.548,-59.3723,65.7562,191.118
0,3,451.838,514.54,527.864,15,0,292.519,-389.652,41.0927,62.6191,118.025
0,2,697.737,514.54,416.408,-45,0,292.519,-20.0699,58.1282,77.7442,125.997
0,1,975.997,620.541,562.306,-15,0,292.519,-509.563,-70.4355,59.4316,164.906
0,1,606.452,620.541,493.422,-45,0,292.519,-225.873,-57.3591,54.3724,154.969
0,1,525.174,620.541,562.306,135,0,292.519,-506.999,-70.3173,58.7633,14.5448
0,1,523.292,620.541,381.966,75,0,292.519,127.557,-41.0681,73.7074,-14.7852
0,1,448.378,620.541,493.422,135,0,292.519,-335.626,-62.4181,82.9794,-9.58023
0,1,593.684,620.541,381.966,135,0,292.519,-148.621,-53.7983,145.693,-35.906
0,1,630.111,620.541,562.306,165,0,292.519,-601.203,-74.6596,83.3176,-2.19345
0,1,1005.57,555.029,291.796,75,0,292.519,193.706,27.4929,146.636,-24.0973
0,1,802.582,620.541,493.422,-15,0,292.519,-185.922,-55.5176,43.9593,119.345
0,1,443.616,514.54,416.408,105,0,292.519,-185.885,50.4851,120.964,-0.660204
0,1,595.156,514.54,416.408,-15,0,292.519,-0.519556,59.0293,72.6484,93.2449
1,43,119.094,-343.027,0,15,1,284.723,-122.353,5.22144,4.55165,-17.3043
1,7,490.683,-343.027,-111.456,75,1,284.723,24.5535,-18.1578,84.34,-57.5476
1,32,430.842,-343.027,-111.456,45,1,284.723,-2.09473,-13.9169,90.0844,-31.1314
1,4,584.34,-449.028,-34.442,105,1,284.723,18.2528,88.8459,8.68421,-88.395
1,14,420.062,-449.028,-34.442,15,1,284.723,-71.1171,103.069,27.949,-10.4138
1,8,441.027,-449.028,-34.442,-15,1,284.723,-167.901,118.471,48.812,6.57033
1,12,439.227,-449.028,-34.442,45,1,284.723,-5.09299,92.5612,13.7167,-31.5346
1,27,194.263,-343.027,0,45,1,284.723,-175.853,13.7356,16.0842,-54.4991
1,1,519.173,-449.028,34.442,45,1,284.723,-330.024,144.272,14.8759,-75.2328
1,11,498.93,-449.028,-34.442,75,1,284.723,22.5939,88.1551,7.74844,-57.8112
1,12,410.958,-343.027,-111.456,15,1,284.723,-67.9785,-3.43193,104.286,-9.99173
1,2,690.731,-449.028,-34.442,135,1,284.723,-5.84689,92.6812,13.8792,-121.636
1,8,303.68,-343.027,0,75,1,284.723,-229.535,22.2788,27.6561,-91.7186
1,1,439.146,-343.027,0,105,1,284.723,-283.242,30.8259,39.2334,-128.941
1,1,998.816,-555.029,-111.456,45,1,284.723,168.281,170.971,53.3577,-8.21855
1,4,188.627,-343.027,0,-15,1,284.723,-174.364,13.4986,15.7632,5.70113
1,4,437.891,-343.027,-111.456,-15,1,284.723,-165.26,12.0498,125.257,6.92546
1,3,679.553,-343.027,-111.456,135,1,284.723,-6.30872,-13.2463,90.9928,-121.698
1,3,320.36,-343.027,0,-45,1,284.723,-317.679,36.3062,46.6566,16.4275
1,1,574.251,-343.027,0,135,1,284.723,-336.958,39.3743,50.8124,-166.165
1,3,578.964,-343.027,-111.456,105,1,284.723,18.8862,-17.2559,85.5617,-88.3098
1,1,603.073,-449.028,34.442,-45,1,284.723,-507.647,172.539,53.1647,-9.12022
1,1,769.045,-277.515,-90.17,105,1,284.723,-321.273,-28.6338,137.601,-134.056
2,264,264.411,898.056,180.34,165,2,319.863,-0.462751,-58.196,0.508142,-11.3086
2,658,111.834,832.544,201.626,165,2,319.863,-40.3601,-0.350778,-26.4118,-18.5578
2,235,210.905,832.544,201.626,195,2,319.863,-31.7258,1.30842,-25.1925,-46.989
2,38,337.456,832.544,201.626,225,2,319.863,-48.523,-1.91937,-27.5644,-80.041
2,1,759.3,898.056,180.34,15,2,319.863,-682.7,-189.296,-95.8302,14.7311
2,66,316.892,898.056,180.34,195,2,319.863,77.2978,-43.2534,11.4887,-27.1798
2,33,141.079,832.544,201.626,135,2,319.863,-124.999,-16.6151,-38.3635,-3.93635
2,2,295.991,832.544,201.626,105,2,319.863,-256.743,-41.9313,-56.967,2.12621
2,22,409.914,898.056,180.34,225,2,319.863,101.722,-38.5599,14.9376,-52.7419
2,20,276.151,898.056,180.34,135,2,319.863,-118.546,-80.8871,-16.1663,-2.76391
2,5,564.99,898.056,291.796,165,2,319.863,23.9559,-53.5037,-107.5,-6.87183
2,7,468.942,832.544,201.626,255,2,319.863,-71.2078,-6.27853,-30.7677,-114.163
2,1,972.845,832.544,381.966,225,2,319.863,-169.531,-25.1725,-224.992,-102.028
2,1,485.031,832.544,201.626,75,2,319.863,-399.026,-69.2728,-77.0587,6.27379
2,2,566.131,963.568,201.626,165,2,319.863,19.3759,-119.896,-17.9765,-7.70399
2,5,589.104,963.568,201.626,195,2,319.863,135.668,-97.5489,-1.555,-16.5742
2,1,819.331,832.544,201.626,15,2,319.863,-690.947,-125.369,-118.281,13.2328
2,4,451.856,898.056,180.34,75,2,319.863,-393.76,-133.773,-55.0292,7.23055
2,4,524.781,898.056,180.34,255,2,319.863,96.6386,-39.5368,14.2198,-83.6656
2,1,542.134,832.544,90.17,195,2,319.863,-433.204,-75.8404,29.5711,-119.936
2,1,637.746,832.544,90.17,105,2,319.863,-509.995,-90.5969,18.7273,-43.889
2,1,883.454,963.568,201.626,225,2,319.863,228.969,-79.6199,11.6201,-29.6216
2,1,645.382,898.056,180.34,285,2,319.863,80.3795,-42.6612,11.9238,-116.62
2,1,667.498,898.056,291.796,105,2,319.863,-242.447,-104.696,-145.118,4.72359
2,1,783.591,963.568,90.17,225,2,319.863,-282.814,-177.965,50.8075,-122.611
3,1,613.4,-0,-652.476,-15,3,255.866,77.8808,-108.37,-29.1647,37.2066
3,20,451.818,-106.001,-729.49,-45,3,255.866,95.2213,0.78971,46.6741,63.2482
3,26,256.513,-106.001,-729.49,45,3,255.866,-133.354,-40.8451,62.1642,25.426
3,2,375.551,-106.001,-618.034,75,3,255.866,-332.408,-77.1028,-35.8022,40.865
3,32,351.248,-106.001,-729.49,-15,3,255.866,47.45,-7.91181,49.9115,44.1532
3,105,274.611,-106.001,-729.49,15,3,255.866,-28.7414,-21.79,55.0748,31.5457
3,5,294.269,-106.001,-618.034,45,3,255.866,-245.467,-61.2665,-41.6941,51.0185
3,1,492.693,-171.513,-639.32,-45,3,255.866,-284.287,-2.8255,-17.7773,149.88
3,13,370.692,-106.001,-618.034,-15,3,255.866,-135.97,-41.3216,-49.1145,86.0232
3,1,686.699,-0,-763.932,15,3,255.866,1.33319,-122.313,87.4787,24.6805
3,2,464.293,-106.001,-618.034,105,3,255.866,-439.064,-96.5301,-28.5744,35.2117
3,1,659.964,-212.002,-763.932,-15,3,255.866,-477.718,2.43009,119.943,164.035
3,2,588.42,-0,-652.476,45,3,255.866,-174.364,-154.316,-12.0706,34.7876
3,1,369.646,-171.513,-639.32,15,3,255.866,-297.132,-5.16532,-16.9068,92.8124
3,5,314.217,-106.001,-729.49,75,3,255.866,-256.542,-63.2839,70.5125,23.5467
3,2,474.669,-106.001,-618.034,-45,3,255.866,-104.632,-35.6135,-51.2382,108.87
3,2,589.313,-106.001,-729.49,-75,3,255.866,124.417,6.10773,44.6955,86.5836
3,1,390.802,-171.513,-639.32,-15,3,255.866,-290.3,-3.9208,-17.3698,121.253
3,6,572.913,-0,-652.476,15,3,255.866,-44.3855,-130.641,-20.879,35.1169
3,8,300.044,-106.001,-618.034,15,3,255.866,-180.972,-49.5188,-46.0648,66.296
3,2,298.58,-171.513,-639.32,45,3,255.866,-305.814,-6.74676,-16.3184,64.7943
3,1,602.805,-0,-652.476,75,3,255.866,-309.302,-178.895,-2.92605,35.5905
3,1,709.486,-106.001,-618.034,-105,3,255.866,-64.6098,-28.3235,-53.9504,159.734
3,2,404.862,-171.513,-639.32,75,3,255.866,-320.015,-9.33343,-15.3561,38.036
3,1,692.481,-0,-652.476,-45,3,255.866,188.268,-88.2628,-36.6455,42.008
3,2,703.092,-106.001,-729.49,-105,3,255.866,143.696,9.61943,43.389,112.183
4,175,295.733,237.026,618.034,-195,4,328.093,20.6475,-36.7846,-48.9875,-3.69683
4,12,388.486,277.515,562.306,-225,4,328.093,174.548,-35.0018,18.8697,12.3456
4,7,231.308,171.513,527.864,-195,4,328.093,-227.339,-39.3859,21.638,18.7935
4,8,452.826,277.515,562.306,-255,4,328.093,152.481,-41.0629,17.1306,44.3469
4,27,332.55,237.026,618.034,-165,4,328.093,-77.5679,-63.7614,-56.7281,-24.7895
4,24,401.464,277.515,562.306,-165,4,328.093,-6.5668,-84.7485,4.59561,-31.2287
4,46,320.723,237.026,618.034,-225,4,328.093,61.5167,-25.559,-45.7665,22.5967
4,2,311.988,171.513,527.864,-165,4,328.093,-275.643,-52.6535,17.831,-6.82569
